TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,SCAN
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,SCAN
,SCAN NOTES,SCAN MODEL,3,TRUE,FALSE,,,SCAN
ctScanSegmentElectronic,SCAN MODEL,SCAN MODEL,5,FALSE,FALSE,,DWELL,SCAN
AzSutTrackRefOffset,AZIMUTH OFFSET,SCAN MODEL,7,FALSE,FALSE,format_degree,0.000 DEG,SCAN
ElSutTrackRefOffset,ELEVATION OFFSET,SCAN MODEL,8,FALSE,FALSE,format_degree,0.000 DEG,SCAN
BeamAzPointAngle,AZ OFFSET (DEG),SCAN MODEL,10,FALSE,0,get_three_decimal,0.000,SCAN
BeamElPointAngle,EL OFFSET (DEG),SCAN MODEL,10,FALSE,1,get_three_decimal,0.000,SCAN
BeamDwellTime,DWELL TIME (MSEC),SCAN MODEL,10,FALSE,2,get_six_decimal,0.000000,SCAN
,DWELL TRIG,SCAN MODEL,10,FALSE,3,,NO,SCAN
,SWITCH TIME,SCAN MODEL,10,FALSE,4,,0.000000,SCAN
,SWITCH TRIG,SCAN MODEL,10,FALSE,5,,NO,SCAN
,AZ OFFSET FILL,SCAN MODEL,12,FALSE,FALSE,,NONE,SCAN
,AZ OFFSET FILL,SCAN MODEL,14,FALSE,FALSE,,NONE,SCAN
,DWELL TIME FILL,SCAN MODEL,16,FALSE,FALSE,,STABLE,SCAN
BeamDwellTime,VALUE,SCAN MODEL,18,FALSE,FALSE,to_usec,0.000000 MSEC,SCAN
,SWITCH TIME FILL,SCAN MODEL,20,FALSE,FALSE,,NONE,SCAN
,PULSE TRIG ENABLE,SCAN MODEL,22,FALSE,FALSE,,NO,SCAN
,SCAN PERSPECTIVE,SCAN MODEL,24,FALSE,FALSE,,TARGET,SCAN
,DEFAULT OFFSET,SCAN MODEL,26,FALSE,FALSE,,0.0000 DBM,SCAN
