TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,SCAN
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,SCAN
,SCAN NOTES,SCAN MODEL,3,TRUE,FALSE,,,SCAN
ctScanSegmentNonInterleavedRaster,SCAN MODEL,SCAN MODEL,5,FALSE,FALSE,,RASTER,SCAN
BarAzTrackOffset,AZIMUTH OFFSET,SCAN MODEL,7,FALSE,FALSE,format_degree,0.000 DEG,SCAN
BarElTrackOffset,ELEVATION OFFSET,SCAN MODEL,8,FALSE,FALSE,format_degree,0.000 DEG,SCAN
,MODEL,SCAN MODEL,9,FALSE,FALSE,,LEVEL,SCAN
RasterOrientation,ORIENTATION,SCAN MODEL,10,FALSE,FALSE,ae_to_vh,HORIZONTAL,SCAN
BarWidth,AZ WIDTH,SCAN MODEL,11,FALSE,FALSE,format_degree,45.000 DEG,SCAN
CoverageAngle,EL WIDTH,SCAN MODEL,12,FALSE,FALSE,format_degree,0.000 DEG,SCAN
NumberOfBars,LEVELS,SCAN MODEL,13,FALSE,FALSE,,1,SCAN
BarScanRate,SWEEP TIME (MSEC),SCAN MODEL,15,FALSE,0,,1000.000,SCAN
,SWEEP BLANK,SCAN MODEL,15,FALSE,1,,NO,SCAN
,SWEEP TRIG,SCAN MODEL,15,FALSE,2,,NO,SCAN
BarFlybackTime,TRANS TIME (MSEC),SCAN MODEL,15,FALSE,3,,10.000,SCAN
InterbarBlankingStatus,TRANS BLANK,SCAN MODEL,15,FALSE,4,,NO,SCAN
,TRANS TRIG,SCAN MODEL,15,FALSE,5,,NO,SCAN
NumberOfBars,LEVEL NUMBER,SCAN MODEL,15,FALSE,6,,1,SCAN
BarScanMotion,BAR DIRECTION,SCAN MODEL,15,FALSE,7,,UP-RIGHT,SCAN
,PULSE TRIG ENABLE,SCAN MODEL,17,FALSE,FALSE,,NO,SCAN
PalmerStatus,OVERLAY MODEL,SCAN MODEL,19,FALSE,FALSE,motion_overlay,PALMER,SCAN
,TYPE,SCAN MODEL,20,FALSE,FALSE,,SQUINT ANGLE,SCAN
PalmerSquintAngle,SQUINT ANGLE,SCAN MODEL,21,FALSE,FALSE,format_degree,0.000 DEG,SCAN
PalmerRate,SCAN RATE,SCAN MODEL,22,FALSE,FALSE,,30.00000 HZ,SCAN
,ROTATION,SCAN MODEL,23,FALSE,FALSE,dir_abrev,CW,SCAN
,SCAN PERSPECTIVE,SCAN MODEL,25,FALSE,FALSE,,TARGET,SCAN
,DEFAULT OFFSET,SCAN MODEL,27,FALSE,FALSE,,0.0000 DBM,SCAN
,SCAN MODEL,SCAN MODEL,44,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,SCAN MODEL,46,TRUE,FALSE,,A123Z_SCAN,SIG
,SCAN PERSPECTIVE,SCAN MODEL,48,FALSE,FALSE,,TARGET,SIG
,DEFAULT OFFSET,SCAN MODEL,50,FALSE,FALSE,,0.0000 DBM,SIG
,ANTENNA MODEL,ANTENNA MODEL,54,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,ANTENNA MODEL,56,TRUE,FALSE,,A123Z ANT,SIG
,ENABLE MSS,MULTIPLE SIMULTANEOUS SIGNALS,60,FALSE,FALSE,,NO,SIG
