TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,SCAN
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,SCAN
,SCAN NOTES,SCAN MODEL,3,TRUE,FALSE,,,SCAN
ElScanKind,SCAN MODEL,SCAN MODEL,5,FALSE,FALSE,,SECTOR,SCAN
AzTrackOffset,AZIMUTH OFFSET,SCAN MODEL,7,FALSE,FALSE,format_degree,0.000 DEG,SCAN
ElTrackOffset,ELEVATION OFFSET,SCAN MODEL,8,FALSE,FALSE,format_degree,0.000 DEG,SCAN
AzSectorWidth,AZ WIDTH,SCAN MODEL,9,FALSE,FALSE,format_degree,0.000 DEG,SCAN
ElSectorWidth,EL WIDTH,SCAN MODEL,10,FALSE,FALSE,format_degree,0.000 DEG,SCAN
AzPointAngle,AZ START ANGLE,SCAN MODEL,11,FALSE,FALSE,format_degree,POSITIVE,SCAN
ElPointAngle,EL START ANGLE,SCAN MODEL,12,FALSE,FALSE,format_degree,NEGATIVE,SCAN
,RASTERS,SCAN MODEL,13,FALSE,FALSE,,2,SCAN
ElDirection,ORIENTATION,SCAN MODEL,14,FALSE,FALSE,,VERTICAL,SCAN
ElDirection&ElScanMotion&AzScanMotion,DIRECTION,SCAN MODEL,15,FALSE,FALSE,orientation_flipper,BI,SCAN
ElDirection&ElScanPeriod&AzScanPeriod,1ST BAR TIME,SCAN MODEL,16,FALSE,FALSE,orientation_flipper_half,1000.00 MSEC,SCAN
ElDirection&ElScanPeriod&AzScanPeriod,2ND BAR TIME,SCAN MODEL,17,FALSE,FALSE,orientation_flipper_half,1000.00 MSEC,SCAN
ElDirection&ElScanReset&AzScanReset,TRANSITION TIME,SCAN MODEL,18,FALSE,FALSE,orientation_flipper,0.00 MSEC,SCAN
ElDirection&ElScanReset&AzScanReset,TRANSITION BLANK,SCAN MODEL,19,FALSE,FALSE,orientation_flipper,NO,SCAN
,PULSE TRIG ENABLE,SCAN MODEL,21,FALSE,FALSE,,NO,SCAN
,PULSE TRIG ON 1ST,SCAN MODEL,22,FALSE,FALSE,,NO,SCAN
,PULSE TRIG ON 2ND,SCAN MODEL,23,FALSE,FALSE,,NO,SCAN
ElDirection&AzScanKind&ElScanKind,PULSE TRIG ON TRANSITION,SCAN MODEL,24,FALSE,FALSE,orientation_flipper,NO,SCAN
PalmerStatus,OVERLAY MODEL,SCAN MODEL,26,FALSE,FALSE,,OFF,SCAN
,SCAN PERSPECTIVE,SCAN MODEL,28,FALSE,FALSE,,TARGET,SCAN
,DEFAULT OFFSET,SCAN MODEL,30,FALSE,FALSE,,0.0000 DBM,SCAN
,SCAN MODEL,SCAN MODEL,44,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,SCAN MODEL,46,TRUE,FALSE,,A123Z_SCAN,SIG
,SCAN PERSPECTIVE,SCAN MODEL,48,FALSE,FALSE,,TARGET,SIG
,DEFAULT OFFSET,SCAN MODEL,50,FALSE,FALSE,,0.0000 DBM,SIG
,ANTENNA MODEL,ANTENNA MODEL,54,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,ANTENNA MODEL,56,TRUE,FALSE,,A123Z ANT,SIG
,ENABLE MSS,MULTIPLE SIMULTANEOUS SIGNALS,60,FALSE,FALSE,,NO,SIG
