TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
AntennaModelKind,ANTENNA MODEL,ANTENNA MODEL,2,FALSE,FALSE,model_kind,RECTANGULAR,ANT
,BEAM MODEL,ANTENNA MODEL,4,FALSE,FALSE,,AZIMUTH,ANT
AzBeamwidth,MAIN LOBE WIDTH,ANTENNA MODEL,6,FALSE,FALSE,format_degree,3.000 DEG,ANT
AzScanShape,DISTRIBUTION,ANTENNA MODEL,7,FALSE,FALSE,format_func,SIN X/X,ANT
AzSidelobeRatio,LOBE ATENNUATION (DB),ANTENNA MODEL,10,FALSE,TRUE,,N/A,ANT
,BEAM MODEL,ANTENNA MODEL,19,FALSE,FALSE,,ELEVATION,ANT
ElBeamwidth,MAIN LOBE WIDTH,ANTENNA MODEL,21,FALSE,FALSE,format_degree,3.000 DEG,ANT
ElScanShape,DISTRIBUTION,ANTENNA MODEL,22,FALSE,FALSE,format_func,SIN X/X,ANT
ElSidelobeRatio,LOBE ATENNUATION (DB),ANTENNA MODEL,25,FALSE,TRUE,,N/A,ANT
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,ANT
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,ANT
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,PUL
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,PUL
,PULSE NOTES,PULSE MODEL,0,TRUE,FALSE,,,PUL
,PULSE MODEL,PULSE MODEL,2,FALSE,FALSE,,STAGGER,PUL
ComplexPriState,PRI TIMING MODE,PULSE MODEL,4,FALSE,FALSE,,TIME,PUL
DwellStatus,PW TIMING MODE,PULSE MODEL,6,FALSE,FALSE,,TIME,PUL
ComplexPriState,DWELL (MSEC),PULSE MODEL,8,FALSE,TRUE,,,PUL
ComplexPriState,PULSE REPEAT,PULSE MODEL,8,FALSE,TRUE,,1,PUL
Frequency,FREQUENCY (MHZ),PULSE MODEL,8,FALSE,TRUE,to_mhz,0,PUL
ModStatus,INTRAPULSE NAME,PULSE MODEL,8,TRUE,TRUE,,,PUL
Pri,PRI (USEC),PULSE MODEL,8,FALSE,TRUE,to_usec,0,PUL
PulseWidth,PW (USEC),PULSE MODEL,8,FALSE,TRUE,to_usec,0,PUL
,ATTENUATION (DB),PULSE MODEL,8,FALSE,TRUE,,0,PUL
,USE LOCAL FREQ,PULSE MODEL,10,FALSE,FALSE,,YES,PUL
,PRI FILL,PULSE MODEL,12,FALSE,FALSE,,NONE,PUL
,PW FILL,PULSE MODEL,14,FALSE,FALSE,,NONE,PUL
,PULSE REPEAT FILL,PULSE MODEL,16,FALSE,FALSE,,NONE,PUL
,DWELL TIME FILL,PULSE MODEL,18,FALSE,FALSE,,NONE,PUL
,ATTENUATION FILL,PULSE MODEL,20,FALSE,FALSE,,NONE,PUL
,FREQUENCY FILL,PULSE MODEL,22,FALSE,FALSE,,NONE,PUL
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,PULSEQ
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,PULSEQ
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,SCAN
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,SCAN
AzScanKind,SCAN MODEL,SCAN MODEL,2,FALSE,FALSE,to_caps,CIRCULAR,SCAN
AzInitialBeamOfset,AZIMUTH OFFSET,SCAN MODEL,4,FALSE,FALSE,format_degree,0.000 DEG,SCAN
ElInitialBeamOffset,ELEVATION OFFSET,SCAN MODEL,5,FALSE,FALSE,format_degree,45.000 DEG,SCAN
AzScanPeriod,SCAN PERIOD,SCAN MODEL,6,FALSE,FALSE,format_second,1.00000 SEC,SCAN
AzDirection,ROTATION,SCAN MODEL,7,FALSE,FALSE,dir_abrev,CW,SCAN
ElScanMotion,OVERLAY MODEL,SCAN MODEL,11,FALSE,FALSE,motion_overlay,NODDING,SCAN
ElDirection,TYPE,SCAN MODEL,12,FALSE,FALSE,dir_typ,TRIANGULAR,SCAN
ElDirection,DIRECTION,SCAN MODEL,13,FALSE,FALSE,dir_dir,VERTICAL,SCAN
ElTrackOffset,ORIGIN,SCAN MODEL,14,FALSE,FALSE,offset_origin,BOTTOM,SCAN
ElSectorWidth,SPAN,SCAN MODEL,15,FALSE,FALSE,format_degree,90.000 DEG,SCAN
ElScanPeriod,SCAN RATE,SCAN MODEL,16,FALSE,FALSE,period_to_hz,30.00000 HZ,SCAN
,PULSE TRIG ON REV,SCAN MODEL,9,FALSE,FALSE,,NO,SCAN
,SCAN PERSPECTIVE,SCAN MODEL,18,FALSE,FALSE,,TARGET,SCAN
,DEFAULT OFFSET,SCAN MODEL,20,FALSE,FALSE,,0.0000 DBM,SCAN
,ANTENNA MODEL,ANTENNA MODEL,0,FALSE,FALSE,,REFERENCE,SIG
,MODEL NAME,ANTENNA MODEL,2,TRUE,FALSE,ant_model,A123Z ANT,SIG
,FREQUENCY NOTES,FREQUENCY MODEL,0,TRUE,FALSE,,,SIG
,FREQUENCY MODEL,FREQUENCY MODEL,2,FALSE,FALSE,,STABLE,SIG
,FREQUENCY,FREQUENCY MODEL,4,FALSE,FALSE,,1000.00 MHZ,SIG
,SYNC TO SCAN,FREQUENCY MODEL,6,FALSE,FALSE,,NO,SIG
,INTRAPULSE NOTES,INTRAPULSE MODEL,0,TRUE,FALSE,,,SIG
,INTRAPULSE MODEL,INTRAPULSE MODEL,2,FALSE,FALSE,,OFF,SIG
ModeName,Model,Main,0,FALSE,FALSE,,A123Z_EMITTER01,SIG
LastUpdateDate,Created,Main,2,FALSE,FALSE,to_timestamp,,SIG
,ENABLE MSS,MULTIPLE SIMULTANEOUS SIGNALS,0,FALSE,FALSE,,NO,SIG
,PULSE MODEL,PULSE MODEL,0,FALSE,FALSE,,SEQUENCE REFERENCE,SIG
,MODEL NAME,PULSE MODEL,2,TRUE,FALSE,seq_model,A123Z_EMITTER,SIG
,USE REF FREQUENCY,PULSE MODEL,3,FALSE,FALSE,,YES,SIG
,USE REF SCAN,PULSE MODEL,4,FALSE,FALSE,,NO,SIG
,NON-COHERENT,PULSE MODEL,6,FALSE,FALSE,,NO,SIG
,SCAN MODEL,SCAN MODEL,0,FALSE,FALSE,,REFERENCE,SIG
,MODEL NAME,SCAN MODEL,2,TRUE,FALSE,scan_model,A123Z_SCAN,SIG
,SCAN PERSPECTIVE,SCAN MODEL,4,FALSE,FALSE,,TARGET,SIG
,DEFAULT OFFSET,SCAN MODEL,6,FALSE,FALSE,,0.0000 DBM,SIG
,ID NOTES,SIGNAL IDENTIFICATION,0,TRUE,FALSE,,,SIG
EmitterId,DATABASE NAME,SIGNAL IDENTIFICATION,2,TRUE,FALSE,,SIG EXPORT,SIG
,CLASSIFICATION,SIGNAL IDENTIFICATION,3,TRUE,FALSE,,UNCLASSIFIED,SIG
EmitterName,NATO NAME,SIGNAL IDENTIFICATION,4,TRUE,FALSE,,EMITTER,SIG
ModeName,SYSTEM NAME,SIGNAL IDENTIFICATION,5,TRUE,FALSE,extract_name,A123Z,SIG
ModeName,VERSION,SIGNAL IDENTIFICATION,6,TRUE,FALSE,extract_version,EMITTER,SIG
ModeName,MODE,SIGNAL IDENTIFICATION,7,TRUE,FALSE,extract_mode,01,SIG
,ENABLE DOPPLER,SPECIAL FEATURES,0,FALSE,FALSE,,NO,SIG
,ENABLE MULTIPATH,SPECIAL FEATURES,1,FALSE,FALSE,,NO,SIG
,PHASED ARRAY,ANTENNA MODEL,10,FALSE,FALSE,,NO,ANT
,PHASED ARRAY,ANTENNA MODEL,31,FALSE,FALSE,,NO,ANT
,DEPTH OF NULLS DEPTH,ANTENNA MODEL,39,FALSE,FALSE,,127.8250 DB,ANT
,DEPTH OF NULLS SPAN,ANTENNA MODEL,41,FALSE,FALSE,format_degree,0.000 DEG,ANT
,LOW RESOLUTION,ANTENNA MODEL,43,FALSE,FALSE,,10 POINTS PER DEGREE,ANT
,HIGH RESOLUTION,ANTENNA MODEL,44,FALSE,FALSE,,DISABLED,ANT
,PULSE NOTES,,0,TRUE,FALSE,,,PULSEQ
,SCAN MODEL,,2,TRUE,FALSE,,,PULSEQ
,USE LOCAL SCAN,,3,FALSE,FALSE,,NO,PULSEQ
,DEPTH OF NULLS DEPTH,ANTENNA MODEL,17,FALSE,FALSE,,127.8250 DB,ANT
,DEPTH OF NULLS SPAN,ANTENNA MODEL,19,FALSE,FALSE,format_degree,0.000 DEG,ANT
,LOW RESOLUTION,ANTENNA MODEL,21,FALSE,FALSE,,10 POINTS PER DEGREE,ANT
